path,Finding labels,File name
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_2_Final.png,Pneumothorax,Pneumothorax_2_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_3_Final.png,Pneumothorax,Pneumothorax_3_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_4_Final.png,Pneumothorax,Pneumothorax_4_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_5_Final.png,Pneumothorax,Pneumothorax_5_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_6_Final.png,Pneumothorax,Pneumothorax_6_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_7_Final.png,Pneumothorax,Pneumothorax_7_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_8_Final.png,Pneumothorax,Pneumothorax_8_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_9_Final.png,Pneumothorax,Pneumothorax_9_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_10_Final.png,Pneumothorax,Pneumothorax_10_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_11_Final.png,Pneumothorax,Pneumothorax_11_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_12_Final.png,Pneumothorax,Pneumothorax_12_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_13_Final.png,Pneumothorax,Pneumothorax_13_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_14_Final.png,Pneumothorax,Pneumothorax_14_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_15_Final.png,Pneumothorax,Pneumothorax_15_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_16_Final.png,Pneumothorax,Pneumothorax_16_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_17_Final.png,Pneumothorax,Pneumothorax_17_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_18_Final.png,Pneumothorax,Pneumothorax_18_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_19_Final.png,Pneumothorax,Pneumothorax_19_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_20_Final.png,Pneumothorax,Pneumothorax_20_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_1_Final.png,Nodule,Nodule_1_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_2_Final.png,Nodule,Nodule_2_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_3_Final.png,Nodule,Nodule_3_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_4_Final.png,Nodule,Nodule_4_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_5_Final.png,Nodule,Nodule_5_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_6_Final.png,Nodule,Nodule_6_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_7_Final.png,Nodule,Nodule_7_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_8_Final.png,Nodule,Nodule_8_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_9_Final.png,Nodule,Nodule_9_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_10_Final.png,Nodule,Nodule_10_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_11_Final.png,Nodule,Nodule_11_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_12_Final.png,Nodule,Nodule_12_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_13_Final.png,Nodule,Nodule_13_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_14_Final.png,Nodule,Nodule_14_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_15_Final.png,Nodule,Nodule_15_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_16_Final.png,Nodule,Nodule_16_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_17_Final.png,Nodule,Nodule_17_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_18_Final.png,Nodule,Nodule_18_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_19_Final.png,Nodule,Nodule_19_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Nodule/Nodule_20_Final.png,Nodule,Nodule_20_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_21_Final.png,Infiltration,Infiltration_21_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_22_Final.png,Infiltration,Infiltration_22_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_23_Final.png,Infiltration,Infiltration_23_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_24_Final.png,Infiltration,Infiltration_24_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_25_Final.png,Infiltration,Infiltration_25_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_26_Final.png,Infiltration,Infiltration_26_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_27_Final.png,Infiltration,Infiltration_27_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_28_Final.png,Infiltration,Infiltration_28_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_29_Final.png,Infiltration,Infiltration_29_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_30_Final.png,Infiltration,Infiltration_30_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_31_Final.png,Infiltration,Infiltration_31_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_32_Final.png,Infiltration,Infiltration_32_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_33_Final.png,Infiltration,Infiltration_33_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_34_Final.png,Infiltration,Infiltration_34_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_35_Final.png,Infiltration,Infiltration_35_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_36_Final.png,Infiltration,Infiltration_36_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_37_Final.png,Infiltration,Infiltration_37_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_38_Final.png,Infiltration,Infiltration_38_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_39_Final.png,Infiltration,Infiltration_39_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_1_Final.png,Infiltration,Infiltration_1_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_40_Final.png,Infiltration,Infiltration_40_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_41_Final.png,Infiltration,Infiltration_41_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_42_Final.png,Infiltration,Infiltration_42_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_43_Final.png,Infiltration,Infiltration_43_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_44_Final.png,Infiltration,Infiltration_44_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_45_Final.png,Infiltration,Infiltration_45_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_46_Final.png,Infiltration,Infiltration_46_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_47_Final.png,Infiltration,Infiltration_47_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_48_Final.png,Infiltration,Infiltration_48_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_3_Final.png,Infiltration,Infiltration_3_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_8_Final.png,Infiltration,Infiltration_8_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_5_Final.png,Infiltration,Infiltration_5_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_49_Final.png,Infiltration,Infiltration_49_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_6_Final.png,Infiltration,Infiltration_6_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_9_Final.png,Infiltration,Infiltration_9_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_2_Final.png,Infiltration,Infiltration_2_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_4_Final.png,Infiltration,Infiltration_4_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_10_Final.png,Infiltration,Infiltration_10_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_7_Final.png,Infiltration,Infiltration_7_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_50_Final.png,Infiltration,Infiltration_50_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_51_Final.png,Infiltration,Infiltration_51_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_52_Final.png,Infiltration,Infiltration_52_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_53_Final.png,Infiltration,Infiltration_53_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_54_Final.png,Infiltration,Infiltration_54_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_55_Final.png,Infiltration,Infiltration_55_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_56_Final.png,Infiltration,Infiltration_56_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_57_Final.png,Infiltration,Infiltration_57_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_58_Final.png,Infiltration,Infiltration_58_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_11_Final.png,Infiltration,Infiltration_11_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_14_Final.png,Infiltration,Infiltration_14_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_59_Final.png,Infiltration,Infiltration_59_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_13_Final.png,Infiltration,Infiltration_13_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_17_Final.png,Infiltration,Infiltration_17_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_12_Final.png,Infiltration,Infiltration_12_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_15_Final.png,Infiltration,Infiltration_15_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_60_Final.png,Infiltration,Infiltration_60_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_16_Final.png,Infiltration,Infiltration_16_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_20_Final.png,Infiltration,Infiltration_20_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_18_Final.png,Infiltration,Infiltration_18_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_19_Final.png,Infiltration,Infiltration_19_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_61_Final.png,Infiltration,Infiltration_61_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_62_Final.png,Infiltration,Infiltration_62_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_63_Final.png,Infiltration,Infiltration_63_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_64_Final.png,Infiltration,Infiltration_64_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_65_Final.png,Infiltration,Infiltration_65_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_66_Final.png,Infiltration,Infiltration_66_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_67_Final.png,Infiltration,Infiltration_67_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_68_Final.png,Infiltration,Infiltration_68_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_69_Final.png,Infiltration,Infiltration_69_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_70_Final.png,Infiltration,Infiltration_70_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_71_Final.png,Infiltration,Infiltration_71_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_72_Final.png,Infiltration,Infiltration_72_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_73_Final.png,Infiltration,Infiltration_73_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_74_Final.png,Infiltration,Infiltration_74_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_75_Final.png,Infiltration,Infiltration_75_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_76_Final.png,Infiltration,Infiltration_76_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_77_Final.png,Infiltration,Infiltration_77_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_78_Final.png,Infiltration,Infiltration_78_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Infiltration/Infiltration_79_Final.png,Infiltration,Infiltration_79_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_1_Final.png,Effusion,Effusion_1_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_2_Final.png,Effusion,Effusion_2_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_3_Final.png,Effusion,Effusion_3_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_4_Final.png,Effusion,Effusion_4_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_5_Final.png,Effusion,Effusion_5_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_6_Final.png,Effusion,Effusion_6_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_7_Final.png,Effusion,Effusion_7_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_8_Final.png,Effusion,Effusion_8_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_9_Final.png,Effusion,Effusion_9_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_10_Final.png,Effusion,Effusion_10_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_11_Final.png,Effusion,Effusion_11_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_12_Final.png,Effusion,Effusion_12_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_13_Final.png,Effusion,Effusion_13_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_14_Final.png,Effusion,Effusion_14_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_15_Final.png,Effusion,Effusion_15_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_16_Final.png,Effusion,Effusion_16_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_17_Final.png,Effusion,Effusion_17_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_18_Final.png,Effusion,Effusion_18_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_19_Final.png,Effusion,Effusion_19_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_20_Final.png,Effusion,Effusion_20_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_21_Final.png,Effusion,Effusion_21_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_22_Final.png,Effusion,Effusion_22_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_23_Final.png,Effusion,Effusion_23_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_24_Final.png,Effusion,Effusion_24_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_25_Final.png,Effusion,Effusion_25_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_26_Final.png,Effusion,Effusion_26_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_27_Final.png,Effusion,Effusion_27_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_28_Final.png,Effusion,Effusion_28_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_29_Final.png,Effusion,Effusion_29_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_30_Final.png,Effusion,Effusion_30_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_31_Final.png,Effusion,Effusion_31_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_32_Final.png,Effusion,Effusion_32_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_33_Final.png,Effusion,Effusion_33_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_34_Final.png,Effusion,Effusion_34_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_35_Final.png,Effusion,Effusion_35_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_36_Final.png,Effusion,Effusion_36_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_37_Final.png,Effusion,Effusion_37_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_38_Final.png,Effusion,Effusion_38_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_39_Final.png,Effusion,Effusion_39_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_40_Final.png,Effusion,Effusion_40_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_41_Final.png,Effusion,Effusion_41_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_42_Final.png,Effusion,Effusion_42_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_43_Final.png,Effusion,Effusion_43_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_44_Final.png,Effusion,Effusion_44_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_45_Final.png,Effusion,Effusion_45_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_46_Final.png,Effusion,Effusion_46_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_47_Final.png,Effusion,Effusion_47_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_48_Final.png,Effusion,Effusion_48_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_49_Final.png,Effusion,Effusion_49_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_50_Final.png,Effusion,Effusion_50_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_51_Final.png,Effusion,Effusion_51_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_52_Final.png,Effusion,Effusion_52_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_53_Final.png,Effusion,Effusion_53_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_54_Final.png,Effusion,Effusion_54_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_55_Final.png,Effusion,Effusion_55_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_56_Final.png,Effusion,Effusion_56_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_57_Final.png,Effusion,Effusion_57_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_58_Final.png,Effusion,Effusion_58_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_59_Final.png,Effusion,Effusion_59_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_60_Final.png,Effusion,Effusion_60_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_61_Final.png,Effusion,Effusion_61_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_62_Final.png,Effusion,Effusion_62_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_63_Final.png,Effusion,Effusion_63_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_64_Final.png,Effusion,Effusion_64_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_65_Final.png,Effusion,Effusion_65_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_66_Final.png,Effusion,Effusion_66_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_67_Final.png,Effusion,Effusion_67_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_68_Final.png,Effusion,Effusion_68_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_69_Final.png,Effusion,Effusion_69_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_70_Final.png,Effusion,Effusion_70_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_71_Final.png,Effusion,Effusion_71_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_72_Final.png,Effusion,Effusion_72_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_73_Final.png,Effusion,Effusion_73_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_74_Final.png,Effusion,Effusion_74_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Effusion/Effusion_75_Final.png,Effusion,Effusion_75_Final.png
